run number,ridf events,run type,Ion Chamber,PPAC,Plastic,NEULAND,NEULANDVETO,SAMURAIBDC1,SAMURAIBDC2,Custom TOF,DC TPF,Placekeeper
2248,9229,,2174,2174,2174,,,,,306.0723432,2253,0
2249,2054,,2174,2174,2174,,,,,306.0703591,2253,0
2250,56941,1,2174,2174,2174,,,,,306.07524,2253,0
2251,79481,1,2174,2174,2174,,,,,306.0746402,2253,0
2252,0,7,2174,2174,2174,,,,,306.1,2253,0
2253,82143,1,2174,2174,2174,,,,,306.0721416,2253,0
2254,4389,7,2174,2174,2174,,,,,306.0760993,2253,0
2255,75972,1,2174,2174,2174,,,,,306.0734812,2253,0
2256,76840,1,2174,2174,2174,,,,,306.07,2253,0
2257,71064,1,2174,2174,2174,,,,,306.07,2253,0
2258,68663,1,2174,2174,2174,,,,,306.07,2253,0
2259,0,7,2174,2174,2174,,,,,306.07,2253,0
2260,256,,2174,2174,2174,,,,,306.07,2253,0
2261,75385,1,2174,2174,2174,,,,,306.07,2253,0
2262,70700,1,2174,2174,2174,,,,,306.07,2253,0
2263,11347,2,2174,2174,2174,,,,,306.07,2253,0
2264,76854,1,2174,2174,2174,,,,,306.07,2253,0
2265,4548,1,2174,2174,2174,,,,,306.07,2253,0
2266,3026,7,2174,2174,2174,,,,,306.07,2253,0
2267,37014,1,2174,2174,2174,,,,,306.07,2253,0
2268,-1,,2174,2174,2174,,,,,306.07,2253,0
2269,-1,,2174,2174,2174,,,,,306.07,2253,0
2270,113489,1,2174,2174,2174,,,,,306.07,2253,0
2271,53254,1,2174,2174,2174,,,,,306.07,2253,0
2272,110162,1,2174,2174,2174,,,,,306.07,2253,0
2273,86832,1,2174,2174,2174,,,,,306.07,2253,0
2274,111436,1,2174,2174,2174,,,,,306.07,2253,0
2275,74554,1,2174,2174,2174,,,,,306.07,2253,0
2276,82858,1,2174,2174,2174,,,,,306.07,2253,0
2277,64634,,2174,2174,2174,,,,,306.07,2253,0
2278,-1,,2174,2174,2174,,,,,306.07,2253,0
2279,-1,,2174,2174,2174,,,,,306.07,2253,0
2280,-1,9,2174,2174,2174,,,,,306.07,2253,0
